unit,civil,uncivil,intolerant,threatening,ranking,treat,treatment,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
1136,4,3,2,1,4321,5,threatening (new),Independent,threatening,Male,Born 1991 or later,White,High school graduate,Every day,100,100,Independent
1137,4,3,1,2,4312,3,intolerant,Democrat,intolerant,Male,Born 1975-1990,White,PhD,Every day,100,100,Strong Democrat
1138,4,3,2,1,4321,4,threatening,Republican,threatening,Male,Born 1975-1990,White,Professional degree,Every day,65,52,Republican
1139,3,1,2,4,3124,0,control,Independent,uncivil,Male,Born 1991 or later,White,High school graduate,Every day,28,68,Independent
1140,4,1,2,3,4123,2,uncivil,Democrat,uncivil,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day,26,8,Strong Democrat
1141,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Female,Born 1991 or later,White,Less than high school,A few times a month,25,30,Strong Democrat
1142,4,1,3,2,4132,5,threatening (new),Democrat,uncivil,Male,Born 1991 or later,White,College,Less often,7,55,Strong Democrat
1143,1,3,2,4,1324,1,non-group-related control,Democrat,civil,Male,Born 1991 or later,White,College,Every day,2,1,Strong Democrat
1144,3,1,2,4,3124,0,control,Independent,uncivil,Male,Born 1991 or later,White,High school graduate,Every day,59,63,Independent
1145,3,2,1,4,3214,3,intolerant,Democrat,intolerant,Male,Born 1975-1990,White,Professional degree,Less often,100,100,Strong Democrat
1146,4,1,2,3,4123,2,uncivil,Democrat,uncivil,Male,Born 1991 or later,Hispanic,College,At least once a week but not every day,76,80,Leaning Democrat
1147,4,3,2,1,4321,4,threatening,Independent,threatening,Male,Born 1975-1990,White,High school graduate,A few times a month,50,65,Independent
1148,1,2,3,4,1234,2,uncivil,Republican,civil,Male,Born 1975-1990,White,College,A few times a month,0,0,Strong Republican
1149,1,3,4,2,1342,4,threatening,Independent,civil,Male,Born 1991 or later,Hispanic,College,Every day,51,51,Independent
1150,4,3,1,2,4312,3,intolerant,Democrat,intolerant,Male,Born 1991 or later,White,College,Every day,100,100,Strong Democrat
1151,1,2,3,4,1234,1,non-group-related control,Democrat,civil,Male,Born 1975-1990,Hispanic,High school graduate,Every day,1,0,Leaning Democrat
1152,4,3,2,1,4321,5,threatening (new),Republican,threatening,Male,Born 1975-1990,White,College,Every day,45,48,Republican
