unit,adachi,aliotopier,avalos,chiu,dufty,hall,herrera,lee,rees,ting,yee,ranking,treat,race,gender,party,age,educ,income,ideo,interest,retro
214,2,NA,NA,NA,NA,NA,NA,1,3,NA,NA,2------13--,3,NA,99,NA,99,99,99,99,99,99
215,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,4,6,99,4,1,99,99,99,99,88
216,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,1,3,1,2,1,4,3,2,2,4
217,2,NA,NA,NA,NA,NA,NA,1,3,NA,NA,2------13--,3,1,2,1,3,3,3,7,2,2
218,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3-1---2----,2,1,2,2,99,4,99,1,1,2
219,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,2,3,2,2,2,3,2,1,2,3
220,NA,NA,NA,2,NA,NA,NA,1,NA,NA,3,---2---1--3,3,1,1,2,3,4,6,5,2,4
221,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1----------,4,3,2,2,3,3,3,2,1,4
222,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,----2--1---,0,1,2,2,1,3,1,2,99,3
223,NA,NA,1,NA,2,3,NA,NA,NA,NA,NA,--1-23-----,3,1,2,2,2,3,2,99,3,99
224,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,--12--3----,0,5,2,2,2,4,1,4,2,2
225,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,--1-3-2----,4,3,1,2,2,4,5,3,2,3
226,1,NA,NA,NA,2,NA,NA,NA,NA,NA,3,1---2-----3,3,2,1,NA,3,2,3,1,2,3
227,NA,NA,NA,1,NA,NA,NA,2,NA,NA,3,---1---2--3,4,4,1,2,4,4,4,3,99,2
228,NA,NA,1,NA,NA,NA,3,NA,NA,NA,2,--1---3---2,0,1,1,4,1,4,5,2,1,3
229,NA,NA,1,NA,3,NA,NA,NA,NA,NA,2,--1-3-----2,1,6,2,2,1,4,1,1,1,3
