unit,indian,kashmiri,religion,occupation,ranking,treat,age,age_18_27,age_28_49,age_50_over,median_age,gender,gender_female,education,education_class12,education_cat_none,education_cat_class6,education_cat_class12,education_cat_ba,religion_sunni,religion_shia,religion_sikh,religion_hindu,main_earner,monthly_hhincome,hhincome_cat_not_5000,hhincome_cat_5000_15000,hhincome_cat_15000_more
1570,1,NA,NA,NA,1---,0,52,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
1571,2,NA,NA,NA,2---,4,49,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
1572,1,NA,NA,NA,1---,0,38,0,1,0,1,female,1,Class 11,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
1573,3,NA,NA,NA,3---,1,26,1,0,0,0,female,1,Graduation (BA/BS etc.),1,0,0,0,1,0,1,0,0,0,"5,000-9,999",0,1,0
1574,1,NA,NA,NA,1---,4,27,1,0,0,0,female,1,Class 12,1,0,0,1,0,0,1,0,0,0,"5,000-9,999",0,1,0
1575,2,NA,NA,NA,2---,2,52,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"2500-4,999",1,0,0
1576,1,NA,NA,NA,1---,2,29,0,1,0,0,female,1,Some college,1,0,0,1,0,1,0,0,0,0,"5,000-9,999",0,1,0
1577,4,NA,NA,NA,4---,0,48,0,1,0,1,male,0,Class 10,0,0,1,0,0,0,0,1,0,1,NA,0,0,1
1578,1,NA,NA,NA,1---,3,21,1,0,0,0,female,1,Class 10,0,0,1,0,0,1,0,0,0,0,"15,000-19,999",0,0,1
1579,1,NA,NA,NA,1---,3,30,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,NA,0,0,1
1580,1,NA,NA,NA,1---,4,37,0,1,0,1,female,1,Class 10,0,0,1,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
1581,1,NA,NA,NA,1---,2,60,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"10,000-14,999",0,1,0
1582,2,NA,NA,NA,2---,2,55,0,0,1,1,male,0,Graduation (BA/BS etc.),1,0,0,0,1,0,1,0,0,1,"30,000-39,999",0,0,1
1583,2,NA,NA,NA,2---,1,57,0,0,1,1,male,0,Class 11,0,0,1,0,0,1,0,0,0,1,"5,000-9,999",0,1,0
1584,1,NA,NA,NA,1---,1,62,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"0-2,499",1,0,0
