unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
32,6,3,4,5,2,1,7,6345217,0,2,1,77,4,2,3
33,6,1,3,2,7,4,5,6132745,1,2,0,35,3,2,3
34,5,4,7,6,3,1,2,5476312,0,1,0,56,6,7,3
35,6,2,1,3,7,5,4,6213754,2,1,1,56,7,4,3
36,4,6,1,2,5,3,7,4612537,0,1,0,41,1,4,3
37,3,2,1,7,6,4,5,3217645,1,2,0,25,3,4,3
38,4,3,1,2,6,5,7,4312657,3,1,0,27,6,4,3
39,4,2,1,3,6,7,5,4213675,1,2,1,47,4,4,3
40,2,5,7,3,4,1,6,2573416,0,2,1,29,4,3,3
41,7,4,1,3,5,2,6,7413526,0,1,1,71,3,2,3
42,5,2,1,7,3,4,6,5217346,0,2,0,39,3,4,3
43,3,2,1,5,6,4,7,3215647,3,2,0,53,2,2,3
44,5,2,1,3,6,7,4,5213674,2,1,0,60,7,3,3
45,2,6,7,4,3,1,5,2674315,0,2,1,42,7,5,3
46,3,4,1,2,7,5,6,3412756,1,1,0,54,4,2,3
47,5,4,2,3,6,1,7,5423617,2,1,0,61,5,5,3
48,7,3,1,2,5,4,6,7312546,2,1,0,57,6,4,3
49,4,2,1,3,5,7,6,4213576,0,2,1,63,3,4,3
50,6,2,7,3,5,1,4,6273514,1,2,1,34,4,4,3
51,6,3,1,2,7,5,4,6312754,2,1,0,28,4,3,3
52,4,2,3,5,7,1,6,4235716,1,1,0,73,4,4,3
53,4,2,1,5,7,3,6,4215736,3,2,1,27,4,2,3
54,2,5,7,6,4,1,3,2576413,1,1,0,44,3,4,3
55,6,2,1,3,7,5,4,6213754,0,2,0,62,9,2,3
56,4,3,1,2,7,5,6,4312756,3,2,1,68,4,2,3
57,3,2,4,7,6,1,5,3247615,1,2,0,47,3,4,3
58,4,1,7,3,2,5,6,4173256,1,2,0,27,6,3,3
59,NA,NA,NA,NA,NA,NA,NA,-------,2,1,1,55,6,2,3
60,1,6,5,7,3,2,4,1657324,1,1,1,27,3,4,3
61,4,3,1,2,7,5,6,4312756,2,2,1,72,3,4,3
62,5,6,1,4,2,3,7,5614237,2,1,1,29,6,3,3
63,4,2,1,5,6,3,7,4215637,1,2,0,41,7,2,3
64,NA,NA,1,NA,NA,NA,NA,--1----,0,1,1,33,6,4,3
65,NA,2,1,3,NA,NA,4,-213--4,2,2,0,20,3,3,3
66,5,2,1,3,7,4,6,5213746,3,1,1,86,3,2,3
67,5,2,1,4,7,3,6,5214736,3,2,0,29,5,2,3
68,5,4,1,2,7,6,3,5412763,0,1,1,32,6,2,3
69,5,2,1,3,7,6,4,5213764,0,1,1,45,4,1,3
70,6,3,1,2,7,5,4,6312754,2,2,1,33,6,3,3
71,5,1,2,3,7,4,6,5123746,1,1,0,42,4,5,3
72,4,1,3,2,6,7,5,4132675,3,2,0,46,3,6,3
73,4,2,1,3,6,5,7,4213657,1,2,0,47,3,6,3
74,7,5,1,4,3,2,6,7514326,0,1,0,44,3,6,3
75,4,5,1,2,7,3,6,4512736,3,2,0,30,5,2,3
76,6,4,1,2,7,3,5,6412735,2,2,0,59,7,2,3
77,4,3,1,2,7,5,6,4312756,3,1,1,68,3,4,3
78,4,1,2,5,7,3,6,4125736,1,2,1,44,7,3,3
